,post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
155,144,GGRC11,0.0900,0.8000,0.7833,2.3500,0.7883,4.7300,0.8083,9.7000,-2.9991,3.6158,-2.2231,11.3200,3.9200,2024,0.8007,11.2400,-90.9625,1025518110.1300,-90.6474,-90.8901,1.6886,0.5629,4.0573,0.6762,9.1453,0.7621,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,11.28,1298096.85,1025518110.13,1.0036,1.0035587188612098,GGRC11,20,9.367009087271,118547,,,
156,2787,GLOG11,0.5000,0.7700,0.7500,2.2500,0.8533,5.1200,0.8925,10.7100,-3.5730,7.2216,-2.8305,65.0400,4.1200,2024,,,,,,,,,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,63.02,54660.81,81708423.97,0.5785,,GLOG11,1,16.679123800687,2753,,,
157,2565,GRWA11,0.1100,1.0700,1.0567,3.1700,1.0967,6.5800,1.2300,14.7600,-9.4737,-5.7491,-8.5051,10.3200,6.5800,2024,1.3659,10.2500,0.0000,28007864.4900,0.0000,0.0000,4.1151,1.3717,8.5169,1.4195,13.9431,1.5492,Indefinido,indefinido,10.13,28632.86,28007864.49,0.9883,0.9882926829268294,GRWA11,,13.521155047268,2267,,,
158,322,GSFI11,0.0007,0.0276,0.0092,0.0276,0.0046,0.0276,0.0023,0.0276,0.0000,0.0276,0.0276,2.5100,0.0276,2020,0.0058,11.9008,0.0111,814995674.0300,0.0170,0.0170,,,,,,,Shoppings,shoppings,7.75,275385.52,1172788059.64,0.5588,0.6512167249260554,GSFI11,9,14.029273204096,7988,,,
159,131,GTLG11,60.6178,,,,,,,,,,,,,,99.9964,60.6200,-35.8315,434811690.7000,35.2242,28.3347,134.9748,44.9916,137.2568,22.8761,141.7348,11.8112,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,63.99,22885.25,434811690.7,1.0556,1.0555922137908282,GTLG11,5,69.712316044751,341,,,
160,454,GTWR11,0.7900,0.9400,0.9333,2.8000,0.9283,5.5700,0.9425,11.3100,-0.7948,6.4006,0.1377,83.6300,4.6100,2024,0.7806,101.2100,6.8743,1214506500.7000,13.3901,7.7086,2.3423,0.7808,4.7355,0.7892,9.7217,0.8101,Lajes Corporativas,lajes-corporativas,84.2,1120806.48,1214506500.7,0.8319,0.8319336033988737,GTWR11,3,11.814053189741,37908,,,
161,2788,GURB11,0.7000,0.6500,0.2167,0.6500,0.1083,0.6500,0.1233,1.4800,0.0000,,0.0000,108.0000,0.6500,2024,,,,,,,,,,,,,Indefinido,indefinido,108,5000076,125524801.16,0.9767,,GURB11,2,9.876066775125,1,,,
162,87,GZIT11,0.7800,1.2200,1.1933,3.5800,1.1700,7.0200,1.0029,7.0200,-3.6141,-6.0872,-2.4382,63.7400,7.0200,2024,,,,,,,,,,,,,Indefinido,indefinido,61.15,676485.05,2087173379.9,0.6399,,GZIT11,9,16.405993850193,6442,,,
163,315,HAAA11,0.1200,0.0000,0.0933,0.2800,0.2683,1.6100,0.3550,4.2600,0.0000,,0.0000,,1.0000,2024,0.1523,78.8000,-12.1124,272253995.2300,-10.5580,-11.9786,0.7541,0.2514,2.0390,0.3398,4.5497,0.3791,Lajes Corporativas,lajes-corporativas,36.56,13719,272253995.23,0.464,0.4639593908629442,HAAA11,2,38.862812140598,289,,,
164,162,HABT11,1.1300,1.2300,1.1800,3.5400,1.1433,6.8600,1.1633,13.9600,-2.1299,10.4180,-0.9261,91.9000,5.7200,2024,1.1375,96.7000,-3.0868,785854119.9100,14.7581,-1.9844,3.2464,1.0821,6.2585,1.0431,13.0471,1.0873,Papéis,papeis,91.9,1697203.19,779700755.68,0.9579,0.9503619441571872,HABT11,0,11.740508952165,72298,,,
