papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
MLPA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08,-2.08,0.0666,0.0892,0.0,0.45130000000000003,0.0,0.0,44578000.0,0.0,-0.0751
MLPA4,45.0,0.01,0.0,0.001,0.0,0.003,0.0,0.01,0.0,-2.06,-2.06,0.0666,0.0892,0.0,0.45130000000000003,0.0,0.0,44578000.0,0.0,-0.0751
MMAQ3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,266382000.0,0.83,0.2332
MMAQ4,200.06,0.0,0.03,0.0,0.0,0.016,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,266382000.0,0.83,0.2332
MMXM3,14.0,-2.17,-0.11,0.0,0.0,0.71,-0.1,4.7,-0.09,18.64,18.64,0.0,0.0,0.2593,0.049699999999999994,0.01,0.0,-842661000.0,-0.32,-0.2851
MNDL3,11.8,-15.03,0.77,0.135,0.0,0.086,-0.7,1.25,-0.17,5.76,4.93,0.10830000000000001,-0.009000000000000001,0.0741,-0.0513,0.75,17729.5,151932000.0,2.8,0.16620000000000001
MNDL4,0.38,-0.48,0.02,0.004,0.0,0.003,-0.02,0.04,-0.01,4.55,3.9,0.10830000000000001,-0.009000000000000001,0.0741,-0.0513,0.75,0.0,151932000.0,2.8,0.16620000000000001
MNPR3,11.0,6.39,-0.25,0.214,0.0,0.231,-0.21,1.47,-0.17,1.47,1.22,0.145,0.0335,0.1653,-0.0388,0.34,46065.5,-315013000.0,0.0,0.1253
MNPR4,4.63,2.69,-0.1,0.09,0.0,0.097,-0.09,0.62,-0.07,0.62,0.51,0.145,0.0335,0.1653,-0.0388,0.34,0.0,-315013000.0,0.0,0.1253
MNSA3,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0815,-3.6266000000000003,-0.135,1.4569999999999999,3.63,0.0,-9105000.0,-6.52,-0.4111
MNSA4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0815,-3.6266000000000003,-0.135,1.4569999999999999,3.63,0.0,-9105000.0,-6.52,-0.4111
MOAR3,398.0,5.28,3.08,0.0,0.0746,1.613,3.8,-194.69,30.23,-159.3,-164.0,0.0,0.0,-0.0171,0.5843,5.04,20063.4,1581850000.0,0.42,-0.9945
MODL11,8.46,-21.05,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0817,0.0,0.0,1154890000.0,0.0,-0.6236999999999999
MODL3,3.08,-22.99,1.88,0.0,0.0070999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0817,0.0,0.0,1154890000.0,0.0,-0.6236999999999999
MODL4,2.72,-20.3,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0817,0.0,0.0,1154890000.0,0.0,-0.6236999999999999
MOSI3,8.24,32.29,1.56,4.761,0.0,1.453,1.89,89.69,1.9,42.98,24.91,0.053099999999999994,0.1475,0.0812,0.0482,13.3,0.0,670337000.0,0.0,0.0
MOVI3,6.39,-3.71,0.92,0.217,0.0,0.088,-1.62,1.39,-0.13,9.17,3.86,0.1563,-0.058499999999999996,0.08839999999999999,-0.248,0.82,28965600.0,2513820000.0,6.44,0.3396
MPLU3,26.8,12.2,17.37,6.877,0.0,2.676,50.65,10.34,66.01,7.71,7.28,0.6652,0.5637,1.2956999999999999,1.4240000000000002,1.06,0.0,250279000.0,0.0,-0.1888
MRFG3,11.12,-12.61,1.41,0.078,0.0,0.079,0.92,4.73,-0.19,20.97,5.16,0.0166,-0.0143,0.0232,-0.1121,1.27,85849700.0,7327730000.0,7.69,0.2883
MRSA3B,29.0,0.0,1.46,0.0,0.0,0.555,7.64,0.0,-1.44,0.0,0.0,0.0,0.0,0.0,0.0,1.44,3866.49,6701670000.0,0.99,0.20679999999999998
MRSA5B,27.16,0.0,1.37,0.0,0.0327,0.52,7.15,0.0,-1.35,0.0,0.0,0.0,0.0,0.0,0.0,1.44,1216.19,6701670000.0,0.99,0.20679999999999998
MRSA6B,27.16,0.0,1.37,0.0,0.0327,0.52,7.15,0.0,-1.35,0.0,0.0,0.0,0.0,0.0,0.0,1.44,1744.28,6701670000.0,0.99,0.20679999999999998
MRSL3,3.3,10.25,0.99,0.883,0.0,0.658,2.37,16.32,6.28,17.74,9.5,0.0541,0.08689999999999999,0.0444,0.09630000000000001,2.78,0.0,375151000.0,0.16,0.071
MRSL4,3.05,9.48,0.91,0.816,0.0,0.609,2.19,15.08,5.8,16.51,8.83,0.0541,0.08689999999999999,0.0444,0.09630000000000001,2.78,0.0,375151000.0,0.16,0.071
MRVE3,6.87,-16.83,0.58,0.506,0.0,0.149,0.65,10.13,-0.65,29.75,21.72,0.0499,-0.0297,0.0155,-0.0347,1.92,91335300.0,6617040000.0,1.22,0.04650000000000001
MSAN3,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.06269999999999999,0.0242,0.11779999999999999,0.11810000000000001,1.18,0.0,2533030000.0,0.39,1.0134999999999998
MSPA3,43.0,30.24,0.33,1.65,0.0067,0.192,5.09,-18.49,-0.59,-26.12,21.13,-0.08929999999999999,0.0546,-0.0109,0.0109,1.68,0.0,831884000.0,0.2,0.1325
MSPA4,37.0,26.02,0.28,1.42,0.0086,0.165,4.38,-15.91,-0.51,-23.54,19.04,-0.08929999999999999,0.0546,-0.0109,0.0109,1.68,0.0,831884000.0,0.2,0.1325
MTBR3,0.99,3.84,0.66,0.128,0.0,0.166,5.73,1.83,-2.86,1.23,1.02,0.0702,0.0336,0.23079999999999998,0.17309999999999998,1.04,0.0,2239720000.0,0.6,0.0848
MTBR4,1.05,4.07,0.7,0.136,0.0,0.176,6.08,1.94,-3.04,1.34,1.11,0.0702,0.0336,0.23079999999999998,0.17309999999999998,1.04,0.0,2239720000.0,0.6,0.0848
